probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens,model,vector
NCA-001,1,0.5,True,True,True,COMPLETED,0,85,141,226,gpt-4o,NCA
NCA-002,1,0.5,True,True,True,COMPLETED,0,84,121,205,gpt-4o,NCA
NCA-003,1,0.5,True,True,True,COMPLETED,0,85,1102,1187,gpt-4o,NCA
NCA-004,1,0.5,True,True,True,COMPLETED,0,84,123,207,gpt-4o,NCA
NCA-005,1,0.5,True,True,True,COMPLETED,0,89,175,264,gpt-4o,NCA
NCA-006,1,0.5,True,True,True,COMPLETED,0,85,176,261,gpt-4o,NCA
NCA-007,1,0.5,True,True,True,COMPLETED,0,87,210,297,gpt-4o,NCA
NCA-008,1,0.5,True,True,True,COMPLETED,0,89,193,282,gpt-4o,NCA
NCA-009,1,0.5,True,True,True,COMPLETED,0,83,124,207,gpt-4o,NCA
NCA-010,1,0.5,True,True,True,COMPLETED,0,88,126,214,gpt-4o,NCA
NCA-011,1,0.5,True,True,True,COMPLETED,0,84,119,203,gpt-4o,NCA
NCA-012,1,0.5,True,True,True,COMPLETED,0,88,136,224,gpt-4o,NCA
NCA-013,1,0.5,True,True,True,COMPLETED,0,84,176,260,gpt-4o,NCA
NCA-014,1,0.5,True,True,True,COMPLETED,0,85,231,316,gpt-4o,NCA
NCA-015,1,0.5,True,True,True,COMPLETED,0,84,137,221,gpt-4o,NCA
NCA-016,1,0.5,True,True,True,COMPLETED,0,84,201,285,gpt-4o,NCA
NCA-017,1,0.5,True,True,True,COMPLETED,0,84,180,264,gpt-4o,NCA
NCA-018,1,0.5,True,True,True,COMPLETED,0,84,161,245,gpt-4o,NCA
NCA-019,1,0.5,True,True,True,COMPLETED,0,84,154,238,gpt-4o,NCA
NCA-020,1,0.5,True,True,True,COMPLETED,0,84,172,256,gpt-4o,NCA
NCA-021,1,0.5,True,True,True,COMPLETED,0,84,130,214,gpt-4o,NCA
NCA-022,1,0.5,True,True,True,COMPLETED,0,84,232,316,gpt-4o,NCA
NCA-023,1,0.5,True,True,True,COMPLETED,0,84,99,183,gpt-4o,NCA
NCA-024,1,0.5,True,True,True,COMPLETED,0,84,117,201,gpt-4o,NCA
NCA-025,1,0.5,True,True,True,COMPLETED,0,84,85,169,gpt-4o,NCA
NCA-026,1,0.5,True,True,True,COMPLETED,0,84,114,198,gpt-4o,NCA
NCA-027,1,0.5,True,True,True,COMPLETED,0,88,127,215,gpt-4o,NCA
NCA-028,1,0.5,True,True,True,COMPLETED,0,84,164,248,gpt-4o,NCA
NCA-029,1,0.5,True,True,True,COMPLETED,0,89,198,287,gpt-4o,NCA
NCA-030,1,0.5,True,True,True,COMPLETED,0,89,348,437,gpt-4o,NCA
NCA-031,1,0.5,True,True,True,COMPLETED,0,84,185,269,gpt-4o,NCA
NCA-032,1,0.5,True,True,True,COMPLETED,0,89,167,256,gpt-4o,NCA
NCA-033,1,0.5,True,True,True,COMPLETED,0,84,134,218,gpt-4o,NCA
NCA-034,1,0.5,True,True,True,COMPLETED,0,89,141,230,gpt-4o,NCA
NCA-035,1,0.5,True,True,True,COMPLETED,0,84,229,313,gpt-4o,NCA
NCA-036,1,0.5,True,True,True,COMPLETED,0,85,312,397,gpt-4o,NCA
NCA-037,1,0.5,True,True,True,COMPLETED,0,85,144,229,gpt-4o,NCA
NCA-038,1,0.5,True,True,True,COMPLETED,0,83,186,269,gpt-4o,NCA
NCA-039,1,0.5,True,True,True,COMPLETED,0,85,274,359,gpt-4o,NCA
NCA-040,1,0.5,True,True,True,COMPLETED,0,83,166,249,gpt-4o,NCA
NCA-041,1,0.5,True,True,True,COMPLETED,0,84,172,256,gpt-4o,NCA
NCA-042,1,0.5,True,True,True,COMPLETED,0,84,142,226,gpt-4o,NCA
NCA-043,1,0.5,True,True,True,COMPLETED,0,84,138,222,gpt-4o,NCA
NCA-044,1,0.5,True,True,True,COMPLETED,0,84,222,306,gpt-4o,NCA
