probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens,model,vector
NCA-001,1,0.2,True,True,True,COMPLETED,0,64,167,231,google/gemini-2.0-flash-001,NCA
NCA-002,1,0.2,True,True,True,COMPLETED,0,63,116,179,google/gemini-2.0-flash-001,NCA
NCA-003,1,0.2,True,True,True,COMPLETED,0,64,99,163,google/gemini-2.0-flash-001,NCA
NCA-004,1,0.2,True,True,True,COMPLETED,0,62,171,233,google/gemini-2.0-flash-001,NCA
NCA-005,1,0.2,True,True,True,COMPLETED,0,64,177,241,google/gemini-2.0-flash-001,NCA
NCA-006,1,0.2,True,True,True,COMPLETED,0,64,220,284,google/gemini-2.0-flash-001,NCA
NCA-007,1,0.2,True,True,True,COMPLETED,0,62,399,461,google/gemini-2.0-flash-001,NCA
NCA-008,1,0.2,True,False,True,COMPLETED,0,64,296,360,google/gemini-2.0-flash-001,NCA
NCA-009,1,0.2,True,True,True,COMPLETED,0,62,171,233,google/gemini-2.0-flash-001,NCA
NCA-010,1,0.2,True,True,True,COMPLETED,0,67,241,308,google/gemini-2.0-flash-001,NCA
NCA-011,1,0.2,True,True,True,COMPLETED,0,63,164,227,google/gemini-2.0-flash-001,NCA
NCA-012,1,0.2,True,True,True,COMPLETED,0,63,681,744,google/gemini-2.0-flash-001,NCA
NCA-013,1,0.2,True,True,True,COMPLETED,0,63,245,308,google/gemini-2.0-flash-001,NCA
NCA-014,1,0.2,True,False,True,COMPLETED,0,64,614,678,google/gemini-2.0-flash-001,NCA
NCA-015,1,0.2,True,True,True,COMPLETED,0,62,218,280,google/gemini-2.0-flash-001,NCA
NCA-016,1,0.2,True,True,True,COMPLETED,0,63,172,235,google/gemini-2.0-flash-001,NCA
NCA-017,1,0.2,True,True,True,COMPLETED,0,63,218,281,google/gemini-2.0-flash-001,NCA
NCA-018,1,0.2,True,True,True,COMPLETED,0,63,313,376,google/gemini-2.0-flash-001,NCA
NCA-019,1,0.2,True,True,True,COMPLETED,0,62,438,500,google/gemini-2.0-flash-001,NCA
NCA-020,1,0.2,True,True,True,COMPLETED,0,63,239,302,google/gemini-2.0-flash-001,NCA
NCA-021,1,0.2,True,True,True,COMPLETED,0,63,250,313,google/gemini-2.0-flash-001,NCA
NCA-022,1,0.2,True,True,True,COMPLETED,0,63,341,404,google/gemini-2.0-flash-001,NCA
NCA-023,1,0.2,True,True,True,COMPLETED,0,63,103,166,google/gemini-2.0-flash-001,NCA
